crop,area_mha_change_pct,production_mt_change_pct,yield_kg_ha_change_pct
Gram,1.217038539553772,14.655172413793105,13.220018885741268
Groundnut,9.696969696969692,26.467065868263482,15.225118483412325
Maize,14.68085106382977,32.86537077033835,15.803722504230123
Rapeseed & Mustard,32.26837060702874,39.97695852534564,5.839942321557312
Rice,8.883826879271073,18.40978593272171,8.745684695051793
Soybean,14.808206958073121,13.415637860082285,-1.1992619926199266
Total Foodgrains,4.1138991583418605,15.228728430926486,10.680907877169554
Total Pulses,-1.2714776632302471,9.995728321230235,11.304347826086957
Wheat,4.095112285336855,9.13527230138591,4.816784869976365
